LA name,LA code,Motorcycle tCO2,Taxi tCO2,Car tCO2,PHV tCO2,LGV tCO2,Bus and Coach tCO2,Rigid tCO2,Artic tCO2
Barking and Dagenham,UKI2101,955,1121,57937,1639,18914,13608,16798,10014
Barnet,UKI2301,3117,2261,177492,4498,58753,33259,35042,20425
Bexley,UKI2102,1627,1120,102173,2414,30795,18331,20324,11992
Brent,UKI2302,1901,1082,86685,2853,26763,22109,20149,9814
Bromley,UKI2201,2033,1312,140405,2728,35962,23498,16763,8631
Camden,UKI1102,2422,7480,40781,6011,19102,18581,12577,3121
City of London,UKI1101,974,4564,4201,1781,4752,7918,3687,495
Croydon,UKI2202,1775,1386,120413,2788,32464,24060,17515,9303
Ealing,UKI2303,2499,1574,124156,3856,39751,26746,27513,13453
Enfield,UKI2103,2188,2228,164000,5116,60047,23066,37064,78868
Greenwich,UKI2104,2643,1930,100636,2838,34312,28096,24314,10435
Hackney,UKI1201,1695,2284,37883,2817,16860,18841,11532,3477
Hammersmith and Fulham,UKI1103,1793,2480,43067,2893,14426,14666,11120,3479
Haringey,UKI1202,1989,1443,51588,2105,17209,16333,11456,3237
Harrow,UKI2304,1042,717,78432,1954,17960,13054,8611,4952
Havering,UKI2105,2024,1867,163362,4264,61472,22358,45239,94785
Hillingdon,UKI2305,2446,2474,188000,9659,54192,28753,37841,36424
Hounslow,UKI2306,2258,3854,134397,7299,38179,24486,25618,15245
Islington,UKI1203,1522,3690,25581,3275,13610,14626,7830,2308
Kensington and Chelsea,UKI1104,1827,6300,37120,4737,15473,16380,9528,2933
Kingston upon Thames,UKI2203,1178,1017,75557,2005,19974,11561,8886,5062
Lambeth,UKI1204,2114,3221,52574,4290,21866,27445,14438,5403
Lewisham,UKI1205,1674,1373,58426,2091,19090,20362,14128,5528
Merton,UKI2204,992,952,66080,1715,18346,14780,11733,5891
Newham,UKI1206,2598,2528,71166,3133,24839,18562,24370,9821
Redbridge,UKI2106,2063,2183,120117,3522,35064,18095,23165,13412
Richmond,UKI2307,1152,888,70094,1704,17237,15021,9934,5022
Southwark,UKI1207,2342,3349,46183,4349,21557,25374,12407,3653
Sutton,UKI2205,825,589,59227,1136,13255,11521,6762,2668
Tower Hamlets,UKI1208,2511,4097,54315,4545,24432,16804,22244,7130
Waltham Forest,UKI2107,2086,1696,74362,2478,24117,16273,15896,6732
Wandsworth,UKI1105,1716,1971,68380,3302,24023,20519,15588,7080
Westminster,UKI1106,4285,24616,47262,10662,26629,37702,15586,3988
